"input";"filtered";"denoisedF";"denoisedR";"merged";"nonchim"
"12243";"10129";"9980";"10014";"9586";"5726"
"15589";"13045";"12265";"12411";"9955";"4988"
"11787";"10870";"10792";"10735";"10569";"7394"
"13764";"12260";"11628";"11770";"10058";"6841"
"11492";"10412";"10119";"10166";"9320";"6646"
"15172";"13763";"13317";"13337";"11506";"6060"
"26899";"21366";"20928";"20917";"19090";"10260"
"27180";"19164";"18910";"18828";"18451";"14650"
"11976";"10751";"10624";"10603";"10249";"8243"
"27902";"18484";"18183";"18108";"16862";"9149"
"31496";"23915";"23765";"23744";"23194";"16956"
"22377";"12829";"12695";"12585";"12320";"10893"
"31609";"24643";"24295";"24216";"23385";"19431"
"34559";"23737";"23305";"23204";"22176";"16384"
"13178";"11994";"11747";"11765";"11053";"5761"
"11783";"10768";"10582";"10599";"9948";"3536"
"31031";"20120";"19776";"19802";"19052";"15302"
"14947";"12154";"11855";"11755";"10759";"5275"
"29742";"18102";"17840";"17912";"17406";"13549"
"11316";"10464";"10312";"10272";"9543";"6847"
"11648";"11211";"11182";"11186";"11158";"9852"
"28328";"16297";"16146";"16169";"15890";"13888"
"12316";"11173";"10878";"10892";"10260";"7904"
"31205";"24894";"24799";"24638";"24521";"16591"
"14826";"13598";"13425";"13391";"12868";"11180"
"10906";"10015";"9975";"9990";"9894";"8081"
"15374";"12431";"12055";"12080";"10550";"5690"
"12859";"12334";"12210";"12198";"11921";"10185"
"12209";"11206";"10930";"10928";"10017";"5432"
"14257";"13000";"12946";"12852";"12416";"7619"
"15163";"14396";"14234";"14159";"13738";"8583"
"14393";"13817";"13726";"13706";"13577";"10639"
"13924";"13353";"13101";"13166";"12740";"10459"
"12673";"11970";"11849";"11850";"11430";"7493"
"25695";"16747";"16632";"16692";"16507";"13414"
"25245";"17737";"17545";"17591";"17011";"12801"
"29045";"24155";"24058";"24052";"23721";"20818"
"31302";"26368";"26240";"26267";"26088";"22238"
"12258";"11264";"11090";"11117";"10674";"7118"
"12415";"9507";"9389";"9415";"9220";"7035"
"31415";"20636";"20547";"20525";"20426";"17124"
"31043";"24314";"24255";"24218";"23966";"17240"
"30578";"22432";"22249";"22304";"21857";"16266"
"11684";"11126";"11068";"11033";"10671";"7337"
"13996";"13338";"13275";"13282";"13201";"11672"
"15671";"14950";"14867";"14873";"14497";"11055"
"21681";"17434";"16911";"16987";"15263";"9261"
"26175";"18631";"18509";"18494";"18363";"14652"
"14822";"13724";"13379";"13425";"12431";"9396"
"13900";"13435";"13372";"13377";"13312";"10414"
"14637";"11825";"11269";"11366";"9413";"5639"
"18861";"13499";"13356";"13323";"13048";"10834"
"28478";"21469";"21324";"21367";"21191";"15706"
"32324";"24561";"23526";"23541";"19852";"8189"
"13039";"11747";"11388";"11354";"10812";"7849"
"36154";"26014";"25535";"25332";"24154";"16473"
"30775";"22396";"22183";"22183";"21518";"15800"
"29988";"20789";"20552";"20550";"19992";"15025"
"26646";"18794";"18150";"18280";"16079";"9094"
"23299";"15241";"15030";"15014";"14739";"11931"
"35287";"27629";"25936";"26267";"20511";"9450"
"35106";"26169";"25878";"25917";"24762";"14264"
"47355";"36392";"36125";"35975";"35299";"23647"
"33382";"24620";"23711";"23907";"20966";"13112"
"38334";"30429";"29427";"29345";"25334";"16911"
"29939";"23858";"22294";"22385";"17027";"7704"
"41445";"32262";"31884";"31837";"30679";"19813"
"33673";"26318";"25419";"25262";"21377";"13666"
"38997";"30497";"30053";"30056";"29088";"20629"
"43172";"35557";"34813";"34742";"32224";"19021"
"38318";"31241";"30973";"30967";"30545";"22688"
"44105";"33217";"32867";"32836";"32334";"26118"
"35953";"29355";"27734";"27932";"21751";"11574"
"28075";"20682";"20604";"20525";"20408";"16774"
"40250";"31251";"31109";"30623";"30151";"21885"
"10774";"9416";"9272";"9260";"9110";"7419"
