feature	ASV1	ASV66
22010-0026	1	0
22010-0027	0.158583525789069	0.841416474210931
22010-0028	0.987390579408087	0.0126094205919133
22010-0029	0.778648099796925	0.221351900203075
22010-0030	0.700943270891457	0.299056729108543
22010-0031	0.916143986910281	0.0838560130897191
22010-0032	0.982677627715796	0.0173223722842044
22010-0033	0.998617756512493	0.00138224348750664
22010-0034	0.900743392070484	0.0992566079295155
22010-0035	0.989363318644583	0.0106366813554171
22010-0036	1	0
22010-0037	0.992002747522324	0.00799725247767638
22010-0038	0.989818746290463	0.0101812537095375
22010-0039	0.998496993987976	0.00150300601202405
22010-0040	0.993011539086624	0.00698846091337559
22010-0041	1	0
22010-0042	0.994835501147666	0.00516449885233358
22010-0043	0.973457943925234	0.0265420560747664
22010-0044	0.996484546652996	0.00351545334700454
22010-0045	0.995858498705781	0.00414150129421915
22010-0046	0.994004674321715	0.00599532567828473
22010-0047	0.0393213572854291	0.960678642714571
22010-0048	0.092020315055522	0.907979684944478
22010-0049	0.844821673525377	0.155178326474623
22010-0050	0.997213653099811	0.00278634690018907
